Image_Index,Original_Filename,Total_Vehicles,Motorcycles,Cars,Trucks
00409,409.jpg,11,10,1,0
00410,410.jpg,17,14,2,1
00411,411.jpg,17,14,3,0
00412,412.jpg,16,15,1,0
00413,413.jpg,18,16,2,0
00414,414.jpg,14,10,4,0
00415,415.jpg,15,15,0,0
00416,416.jpg,15,14,1,0
00417,417.jpg,9,3,3,3
00418,418.jpg,14,14,0,0
00419,419.jpg,16,14,2,0
00420,420.jpg,12,11,1,0
00421,421.jpg,3,3,0,0
00422,422.jpg,8,7,1,0
00423,423.jpg,12,7,3,2
00424,424.jpg,18,14,3,1
00425,425.jpg,19,11,4,4
00426,426.jpg,12,11,0,1
00427,427.jpg,13,12,1,0
00428,428.jpg,12,7,3,2
00429,429.jpg,15,11,3,1
00430,430.jpg,12,11,1,0
00431,431.jpg,7,7,0,0
00432,432.jpg,16,14,2,0
00433,433.jpg,17,14,2,1
00434,434.jpg,15,11,3,1
00435,435.jpg,16,14,1,1
00436,436.jpg,16,10,6,0
00437,437.jpg,16,9,7,0
00438,438.jpg,18,6,10,2
00439,439.jpg,7,1,4,2
00440,440.jpg,14,8,5,1
00441,441.jpg,15,11,1,3
00442,442.jpg,11,10,0,1
00443,443.jpg,9,8,0,1
00444,444.jpg,17,16,0,1
00445,445.jpg,14,11,1,2
00446,446.jpg,15,14,0,1
00447,447.jpg,13,12,0,1
00448,448.jpg,8,4,3,1
00449,449.jpg,9,7,2,0
00450,450.jpg,14,6,3,5
00451,451.jpg,12,9,2,1
00452,452.jpg,17,12,2,3
00453,453.jpg,12,5,5,2
00454,454.jpg,14,11,0,3
00455,455.jpg,7,5,2,0
00456,456.jpg,16,12,3,1
00457,457.jpg,11,8,3,0
00458,458.jpg,17,11,6,0
00459,459.jpg,12,8,3,1
00460,460.jpg,9,6,2,1
00461,461.jpg,9,1,3,5
00462,462.jpg,14,10,3,1
00463,463.jpg,18,11,6,1
00464,464.jpg,17,12,5,0
00465,465.jpg,14,8,5,1
00466,466.jpg,15,9,5,1
00467,467.jpg,16,9,5,2
00468,468.jpg,25,19,5,1
00469,469.jpg,13,9,3,1
00470,470.jpg,16,9,5,2
00471,471.jpg,15,4,8,3
00472,472.jpg,11,3,4,4
00473,473.jpg,17,8,6,3
00474,474.jpg,11,7,3,1
00475,475.jpg,9,5,2,2
00476,476.jpg,12,8,2,2
00477,477.jpg,12,4,6,2
00478,478.jpg,17,6,9,2
00479,479.jpg,19,8,10,1
00480,480.jpg,16,8,7,1
00481,481.jpg,19,11,7,1
00482,482.jpg,15,9,5,1
00483,483.jpg,18,11,4,3
00484,484.jpg,13,7,4,2
00485,485.jpg,22,18,3,1
00486,486.jpg,16,9,7,0
00487,487.jpg,18,8,8,2
